Designator,Mid X,Mid Y,Rotation,Layer
"C1",120.343386,-84.942949,135.000000,T
"C2",128.355411,-93.472000,-45.000000,T
"C3",126.847415,-85.002077,45.000000,T
"C4",128.355411,-85.766589,45.000000,T
"C5",121.285000,-94.996000,-135.000000,T
"C6",117.643589,-90.636411,-135.000000,T
"C7",126.085415,-84.240077,45.000000,T
"C8",129.413000,-92.075000,180.000000,T
"C9",119.625208,-85.621771,135.000000,T
"C10",124.374589,-82.889411,45.000000,T
"C11",125.323415,-83.478077,45.000000,T
"C12",142.621000,-84.099000,0.000000,T
"C13",138.049000,-91.440000,90.000000,T
"C14",125.984000,-94.954411,-135.000000,T
"C15",127.508000,-94.234000,-45.000000,T
"C16",100.838000,-85.808000,-90.000000,T
"D1",149.352000,-66.802000,90.000000,T
"D2",131.318000,-66.802000,90.000000,T
"D3",112.141000,-66.802000,90.000000,T
"D4",91.567000,-66.802000,90.000000,T
"D5",150.368000,-85.852000,90.000000,T
"D6",131.318000,-85.852000,90.000000,T
"D7",112.268000,-85.852000,90.000000,T
"D8",93.218000,-85.852000,90.000000,T
"D9",150.368000,-104.903000,90.000000,T
"D10",131.318000,-104.903000,90.000000,T
"D11",112.268000,-104.901000,90.000000,T
"D12",93.218000,-104.902000,90.000000,T
"D13",150.368000,-123.952000,90.000000,T
"D14",131.318000,-123.952000,90.000000,T
"D15",112.268000,-123.952000,90.000000,T
"D16",93.218000,-123.952000,90.000000,T
"J1",124.333000,-53.848000,180.000000,T
"R1",121.882803,-80.518000,90.000000,T
"R2",123.571000,-80.518000,90.000000,T
"R3",129.646624,-90.571376,45.000000,T
"R4",126.873000,-59.309000,0.000000,T
"R5",121.793000,-59.309000,180.000000,T
"R6",101.981000,-94.996000,0.000000,T
"R7",100.838000,-92.583000,-90.000000,T
"SW15",143.383000,-110.871000,90.000000,T
"SW16",105.283000,-110.871000,90.000000,T
"U1",123.952000,-89.687122,45.000000,T
"U2",142.621000,-89.560000,-90.000000,T
"U4",104.394000,-89.491000,90.000000,T
"Y1",125.095000,-98.679000,0.000000,T
